#Header
numberOfMeasurements = 54
sampling = 6
gate = 2
appliedMobility = true
X(ms), Y1, Y2, Y3, Y4
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
69.085, 5.954, 5.498, 5.498, 5.498
66.266, 5.834, 5.498, 5.498, 5.498
63.667, 5.737, 5.498, 5.498, 5.498
61.264, 5.672, 5.498, 5.498, 5.498
59.037, 5.632, 5.498, 5.498, 5.498
56.965, 5.619, 5.498, 5.498, 5.498
55.034, 5.622, 5.498, 5.498, 5.498
53.230, 5.619, 5.498, 5.498, 5.498
51.540, 5.630, 5.498, 5.498, 5.498
49.954, 5.642, 5.498, 5.498, 5.498
48.463, 5.641, 5.498, 5.498, 5.498
47.058, 5.647, 5.498, 5.498, 5.498
45.733, 5.648, 5.498, 5.498, 5.498
44.480, 5.660, 5.498, 5.498, 5.498
43.294, 5.660, 5.498, 5.498, 5.498
42.169, 5.659, 5.498, 5.498, 5.498
41.101, 5.663, 5.498, 5.498, 5.498
40.087, 5.659, 5.498, 5.498, 5.498
39.121, 5.663, 5.498, 5.498, 5.498
38.200, 5.669, 5.498, 5.498, 5.498
37.322, 5.673, 5.498, 5.498, 5.498
36.483, 5.677, 5.498, 5.498, 5.498
35.681, 5.684, 5.498, 5.498, 5.498
34.914, 5.696, 5.498, 5.498, 5.498
34.179, 5.694, 5.498, 5.498, 5.498
33.474, 5.693, 5.498, 5.498, 5.498
32.798, 5.688, 5.498, 5.498, 5.498
32.149, 5.695, 5.498, 5.498, 5.498
31.524, 5.700, 5.498, 5.498, 5.498
30.924, 5.706, 5.498, 5.498, 5.498
30.346, 5.708, 5.498, 5.498, 5.498
29.789, 5.714, 5.498, 5.498, 5.498
29.252, 5.708, 5.498, 5.498, 5.498
28.735, 5.708, 5.498, 5.498, 5.498
28.235, 5.719, 5.498, 5.498, 5.498
27.752, 5.715, 5.498, 5.498, 5.498
27.286, 5.720, 5.498, 5.498, 5.498
26.835, 5.718, 5.498, 5.498, 5.498
26.398, 5.720, 5.498, 5.498, 5.498
25.976, 5.727, 5.498, 5.498, 5.498
25.567, 5.730, 5.498, 5.498, 5.498
25.171, 5.723, 5.498, 5.498, 5.498
98.394, 5.428, 5.498, 5.498, 5.498
92.772, 6.091, 5.498, 5.498, 5.498
87.757, 6.397, 5.498, 5.498, 5.498
83.257, 6.473, 5.498, 5.498, 5.498
79.195, 6.406, 5.498, 5.498, 5.498
75.512, 6.269, 5.498, 5.498, 5.498
72.156, 6.111, 5.498, 5.498, 5.498
